,3-point Endpoint,3-point Midpoint,5-point Endpoint,5-point Midpoint,Richard Extrapolation
Values,-0.8414712260318424,-0.8414710039872375,-0.8414713740615789,-0.8414709854835203,-0.8414709848078831
Exact Value,-0.8414709848078965,-0.8414709848078965,-0.8414709848078965,-0.8414709848078965,-0.8414709848078965
Times,4.0531158447265625e-06,3.0994415283203125e-06,5.0067901611328125e-06,4.291534423828125e-06,0.0001766681671142578
Absolute Error,2.4122394592929197e-07,1.9179341004260664e-08,3.892536823979498e-07,6.756237791449848e-10,-1.3433698597964394e-14
Relative Error,2.866692745595602e-05,2.279263446200881e-06,4.625869570810429e-05,8.02907991838557e-08,1.596454166631955e-12
