,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2,x=1,x=2,x=4
n=1,0.99951171875,0.998046875,0.9921875,0.96875,0.875,0.5,-1.0,-7.0
n=2,0.9995117584864298,0.9980475107828776,0.9921976725260416,0.9689127604166666,0.8776041666666666,0.5416666666666666,-0.3333333333333333,3.6666666666666665
n=3,0.9995117584851363,0.9980475107000933,0.992197667227851,0.9689124213324652,0.8775824652777777,0.5402777777777777,-0.4222222222222222,-2.022222222222222
n=4,0.9995117584851364,0.9980475107000991,0.9921976672293293,0.9689124217109074,0.8775825621589782,0.5403025793650794,-0.4158730158730159,-0.3968253968253968
n=8,0.9995117584851364,0.9980475107000991,0.992197667229329,0.9689124217106447,0.8775825618903728,0.5403023058681399,-0.4161468365066249,-0.6536333241518427
n=16,0.9995117584851364,0.9980475107000991,0.992197667229329,0.9689124217106447,0.8775825618903728,0.5403023058681398,-0.4161468365471424,-0.6536436208636119
n=32,0.9995117584851364,0.9980475107000991,0.992197667229329,0.9689124217106447,0.8775825618903728,0.5403023058681398,-0.4161468365471424,-0.6536436208636119
n=64,0.9995117584851364,0.9980475107000991,0.992197667229329,0.9689124217106447,0.8775825618903728,0.5403023058681398,-0.4161468365471424,-0.6536436208636119
n=128,0.9995117584851364,0.9980475107000991,0.992197667229329,0.9689124217106447,0.8775825618903728,0.5403023058681398,-0.4161468365471424,-0.6536436208636119
n=256,0.9995117584851364,0.9980475107000991,0.992197667229329,0.9689124217106447,0.8775825618903728,0.5403023058681398,-0.4161468365471424,-0.6536436208636119
Exact Value,0.9995117584851364,0.9980475107000991,0.992197667229329,0.9689124217106447,0.8775825618903728,0.5403023058681398,-0.4161468365471424,-0.6536436208636119
