,10^6,10^7,10^8,10^9
Naive Sum,3141592.6535849427,31415926.543478474,314159265.624272,3141592632.494384
Naive Time,0.06725859642028809,0.6430079936981201,6.44527530670166,64.46708989143372
Compensated Sum,3141592.653589793,31415926.535897933,314159265.3589793,3141592653.589793
Compensated Time,0.11365270614624023,1.1371495723724365,11.355765104293823,113.49001717567444
Exact Value,3141592.653589793,31415926.535897933,314159265.3589793,3141592653.589793
