,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2,x=1,x=2,x=4
n=1,0.031244913736979168,0.062459309895833336,0.12467447916666667,0.24739583333333334,0.4791666666666667,0.8333333333333334,0.6666666666666666,-6.666666666666667
n=2,0.031244913985331853,0.062459317843119304,0.12467473347981771,0.24740397135416667,0.47942708333333334,0.8416666666666667,0.9333333333333333,1.8666666666666667
n=3,0.03124491398532608,0.06245931784238016,0.12467473338520717,0.24740395924401662,0.479425533234127,0.841468253968254,0.9079365079365079,-1.384126984126984
n=4,0.03124491398532608,0.0624593178423802,0.12467473338522769,0.2474039592545289,0.4794255386164159,0.8414710097001764,0.909347442680776,-0.6617283950617284
n=8,0.03124491398532608,0.0624593178423802,0.12467473338522769,0.24740395925452294,0.479425538604203,0.8414709848078965,0.909297426829951,-0.7568003190686041
n=16,0.03124491398532608,0.0624593178423802,0.12467473338522769,0.24740395925452294,0.479425538604203,0.8414709848078965,0.9092974268256817,-0.7568024953079282
n=32,0.03124491398532608,0.0624593178423802,0.12467473338522769,0.24740395925452294,0.479425538604203,0.8414709848078965,0.9092974268256817,-0.7568024953079282
n=64,0.03124491398532608,0.0624593178423802,0.12467473338522769,0.24740395925452294,0.479425538604203,0.8414709848078965,0.9092974268256817,-0.7568024953079282
n=128,0.03124491398532608,0.0624593178423802,0.12467473338522769,0.24740395925452294,0.479425538604203,0.8414709848078965,0.9092974268256817,-0.7568024953079282
n=256,0.03124491398532608,0.0624593178423802,0.12467473338522769,0.24740395925452294,0.479425538604203,0.8414709848078965,0.9092974268256817,-0.7568024953079282
Exact Value,0.03124491398532608,0.0624593178423802,0.12467473338522769,0.24740395925452294,0.479425538604203,0.8414709848078965,0.9092974268256817,-0.7568024953079282
