,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2,x=1,x=2,x=4
n=1,0.047845575670570704,0.18771378050440665,0.7243069392734508,2.7220333350193116,9.914751380008546,35.914091422952254,146.301869964355,991.9630006628846
n=2,0.0004968555685022841,0.0038831130172426176,0.029656546588806374,0.2166178878237186,1.4597705046232736,8.731273138361804,47.78112197861301,319.98576948572486
n=3,3.875584109394319e-06,6.048073586196949e-05,0.000920649850350163,0.013338744035023737,0.17546961215969226,1.9355685672141965,16.6693068252208,130.69640859075028
n=4,2.419710899386589e-08,7.544252689456444e-07,2.2919107389851716e-05,0.0006611754276027614,0.01721452588455396,0.3673290507955056,5.557944270437863,59.02373796061426
n=8,0.0,0.0,1.841964555170461e-12,8.396370981060052e-10,3.4354902330508484e-07,0.00011252038639260557,0.02375037228855832,2.1829793858976583
n=16,0.0,0.0,0.0,0.0,0.0,9.802277420994514e-14,5.606059327548655e-09,0.00011328328123930094
n=32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
