,Trapezoidal Rule,Simpson Rule,Newton Cotes N=4,Composite Trapezoidal Rule,Composite Midpoint Rule,Composite Simpson Rule,Adaptive Quadrature
Values,1.3685120502310513,1.5615893159511798,1.5604132512202857,1.560415777036792,1.5604122237565325,1.560415640993598,1.5604132512202857
Exact Value,1.5604157770370284,1.5604157770370284,1.5604157770370284,1.5604157770370284,1.5604157770370284,1.5604157770370284,1.5604157770370284
Times,9.059906005859375e-06,7.62939453125e-06,9.775161743164062e-06,0.4296834468841553,0.24765372276306152,0.43339085578918457,1.2874603271484375e-05
Absolute Error,0.19190372680597712,-0.0011735389141513952,2.5258167426489564e-06,2.3647750424515834e-13,3.5532804958382513e-06,1.360434302988267e-07,2.5258167426489564e-06
Relative Error,14.02280139028204,0.07515029093526943,0.00016186844995540116,1.5154775267283305e-11,0.00022771421818806907,8.718409808568745e-06,0.00016186844995540116
