x=,-10,-100,-1000,-10000,-100000,-1000000,-10000000,-100000000,-1000000000,-10000000000,-100000000000,-1000000000000
root,-3.0000000000569105,-3.000000000204725,-3.0000000002196425,-3.000000000241319,-3.0000000002867404,-3.000000003263499,-3.000000232470241,-3.0000000070258115,nan,nan,nan,nan
iterations,9,17,25,33,41,49,57,53,nan,nan,nan,nan
time,0.002999544143676758,0.006001949310302734,0.010001897811889648,0.012002229690551758,0.01400303840637207,0.01900458335876465,0.021004915237426758,0.0200045108795166,nan,nan,nan,nan
relative error,1.897015877680526e-09,6.8241708575636025e-09,7.321417545762379e-09,8.04396549305107e-09,9.558013638900049e-09,1.0878329336595556e-07,7.749007427367784e-06,2.3419371572314277e-07,nan,nan,nan,nan
