guesses,"(-10, 0, 10)","(-100, 0, 100)","(-1000, 0, 1000)","(-10000, 0, 10000)","(-100000, 0, 100000)","(-1000000, 0, 1000000)","(-10000000, 0, 10000000)","(-100000000, 0, 100000000)","(-1000000000, 0, 1000000000)","(-10000000000, 0, 10000000000)","(-100000000000, 0, 100000000000)","(-1000000000000, 0, 1000000000000)"
root,(0.9999999999975837+1.4973376378585662e-12j),(0.9999999962086226-5.833559541194218e-10j),(0.9999999964118875-5.357773770794911e-11j),(0.9999999964138984-5.244816553066258e-12j),nan,nan,nan,(1.2738103270530705+0j),nan,(133.5686931610107+0j),(3.499619866952506e-21-1367.7434320016152j),(14005.692626953121+0j)
iterations,7,6,6,6,1,1,1,1,1,1,1,1
time,0.004014730453491211,0.0019850730895996094,0.0030012130737304688,0.003000497817993164,0.0,0.0010063648223876953,0.0,0.0009953975677490234,0.0010001659393310547,0.00099945068359375,0.0009996891021728516,0.0
relative error,2.416289390800029e-10,3.791377448600294e-07,3.5881124866814107e-07,3.586101650724783e-07,nan,nan,nan,21.495376606541107,nan,99.25132156620373,2.8574532035412383e+22,99.99286004607816
